P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.000276251,0.997513696,0.000276243,0.000276316,0.000276254,0.000276248,0.000276253,0.000276243,0.000276247,0.000276248
0.000327903,0.997049024,0.000327869,0.000327944,0.000327884,0.000327878,0.000327875,0.00032787,0.000327883,0.00032787
0.000352124,0.996830901,0.000352113,0.000352124,0.000352127,0.000352133,0.000352113,0.000352113,0.000352138,0.000352115
0.00033901,0.996948938,0.000338983,0.000338991,0.000339009,0.000338988,0.000339007,0.000338984,0.000339099,0.000338991
0.000353363,0.996819668,0.000353357,0.000353392,0.000353394,0.000353362,0.000353372,0.000353357,0.000353378,0.000353357
0.842538852,0.155617784,0.000230415,0.000230419,0.000230429,0.000230421,0.000230417,0.000230417,0.000230429,0.000230417
0.000296745,0.99732933,0.000296736,0.000296741,0.000296741,0.000296741,0.00029675,0.000296736,0.000296737,0.000296742
0.00038911,0.996497993,0.000389105,0.000389107,0.000389131,0.000389114,0.000389114,0.000389105,0.000389116,0.000389105
0.000315474,0.997160812,0.000315457,0.000315458,0.000315473,0.000315465,0.000315464,0.000315464,0.000315475,0.000315457
0.000359722,0.996762545,0.000359712,0.000359715,0.000359734,0.000359714,0.000359717,0.000359712,0.000359717,0.000359713
0.00034015,0.996938701,0.000340136,0.000340145,0.000340156,0.000340138,0.000340138,0.000340152,0.000340147,0.000340136
0.000237539,0.997862149,0.00023753,0.00023754,0.000237564,0.000237536,0.00023754,0.00023753,0.000237541,0.00023753
0.000332242,0.997009892,0.000332226,0.000332228,0.000332242,0.000332227,0.000332243,0.000332226,0.000332247,0.000332226
0.00032789,0.997049136,0.000327869,0.00032787,0.000327878,0.000327872,0.000327872,0.000327869,0.000327874,0.000327869
0.000363649,0.996727182,0.000363636,0.000363644,0.000363659,0.00036364,0.000363639,0.000363636,0.000363677,0.000363636
0.000187984,0.99830823,0.00018797,0.000187973,0.000187976,0.000187971,0.00018797,0.000187977,0.000187978,0.00018797
0.000266679,0.997599948,0.000266667,0.00026667,0.000266683,0.00026667,0.000266675,0.000266667,0.000266675,0.000266667
0.000323648,0.997087306,0.000323625,0.000323636,0.000323632,0.000323626,0.000323631,0.000323627,0.000323643,0.000323627
0.000264582,0.99761896,0.00026455,0.000264554,0.000264571,0.000264554,0.000264558,0.000264556,0.000264565,0.000264551
0.000373174,0.996641683,0.000373134,0.000373134,0.000373159,0.000373139,0.000373135,0.000373155,0.00037314,0.000373147
0.000312513,0.997187404,0.0003125,0.000312504,0.00031251,0.000312527,0.000312505,0.00031251,0.000312521,0.000312506
0.000366304,0.996703197,0.0003663,0.000366306,0.000366325,0.000366308,0.000366302,0.0003663,0.000366344,0.000366312
0.000265992,0.997606305,0.000265957,0.000265958,0.000265968,0.000265959,0.000265965,0.000265965,0.000265967,0.000265964
0.000375948,0.996616407,0.00037594,0.000375941,0.000375967,0.000375961,0.00037594,0.000375975,0.000375961,0.000375961
0.000289031,0.997398794,0.000289017,0.000289023,0.000289034,0.00028902,0.000289019,0.000289017,0.000289027,0.000289017
0.000327889,0.997049134,0.000327869,0.000327871,0.000327882,0.00032787,0.00032787,0.000327869,0.000327877,0.000327869
0.000294993,0.997345062,0.000294985,0.000294995,0.00029499,0.000294992,0.000294987,0.000294987,0.000295023,0.000294986
0.000353369,0.996819722,0.000353357,0.000353358,0.00035337,0.00035337,0.000353372,0.000353357,0.000353368,0.000353357
0.000366312,0.996703233,0.0003663,0.000366306,0.000366313,0.000366305,0.0003663,0.0003663,0.000366321,0.000366309
0.000270276,0.997567524,0.00027027,0.000270272,0.000270274,0.000270277,0.000270275,0.000270275,0.000270284,0.000270273
0.000316478,0.997151812,0.000316456,0.000316473,0.000316467,0.000316459,0.000316456,0.000316461,0.000316479,0.000316459
0.000314485,0.997169738,0.000314465,0.000314472,0.000314488,0.00031448,0.00031447,0.000314465,0.000314469,0.000314465
0.000373158,0.996641702,0.000373134,0.000373144,0.000373151,0.000373146,0.000373137,0.000373141,0.000373145,0.000373141
0.000303973,0.997264377,0.000303951,0.000303952,0.000303963,0.000303957,0.000303953,0.000303961,0.000303957,0.000303957
0.000287368,0.997413733,0.000287356,0.000287364,0.000287374,0.00028736,0.000287357,0.000287356,0.000287375,0.000287357
0.000321555,0.997106017,0.000321543,0.000321547,0.000321566,0.00032156,0.000321546,0.000321543,0.000321578,0.000321543
0.000416693,0.996249852,0.000416667,0.000416678,0.000416691,0.000416688,0.000416673,0.000416693,0.000416682,0.000416683
6.71E-05,0.999396365,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05
0.000320531,0.997115347,0.000320513,0.000320514,0.000320519,0.000320514,0.000320515,0.000320513,0.00032052,0.000320513
0.000170655,0.998464126,0.000170648,0.00017065,0.000170662,0.000170653,0.000170652,0.00017065,0.000170654,0.000170651
0.000267391,0.997593548,0.00026738,0.000267381,0.000267392,0.000267384,0.000267381,0.00026738,0.000267383,0.00026738
8.13E-05,0.999268278,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05
5.18E-05,0.999533669,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05
0.000194185,0.998252383,0.000194175,0.000194176,0.000194191,0.000194177,0.000194181,0.000194175,0.00019418,0.000194177
7.96E-05,0.999283996,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05
0.000194181,0.998252384,0.000194175,0.000194176,0.000194184,0.000194183,0.000194178,0.000194175,0.000194183,0.000194181
0.000304887,0.997256044,0.000304878,0.000304885,0.000304886,0.000304888,0.000304883,0.000304887,0.000304884,0.000304878
0.000152452,0.998628017,0.000152439,0.000152441,0.000152449,0.000152441,0.000152439,0.000152441,0.000152442,0.000152439
9.63E-05,0.999132931,9.63E-05,9.63E-05,9.63E-05,9.63E-05,9.63E-05,9.63E-05,9.63E-05,9.63E-05
8.60E-05,0.999226127,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05,8.60E-05
6.94E-05,0.999375423,6.94E-05,6.94E-05,6.94E-05,6.94E-05,6.94E-05,6.94E-05,6.94E-05,6.94E-05
0.000111487,0.998996643,0.000111483,0.000111483,0.000111487,0.000111483,0.000111483,0.000111483,0.000111485,0.000111483
0.000249388,0.99775558,0.000249377,0.000249378,0.000249384,0.000249381,0.000249378,0.000249377,0.00024938,0.000249377
0.000248769,0.997761158,0.000248756,0.000248761,0.000248764,0.000248759,0.000248757,0.000248757,0.000248763,0.000248756
0.000141046,0.998730589,0.000141044,0.000141045,0.000141051,0.000141044,0.000141045,0.000141044,0.000141049,0.000141044
0.00038315,0.99655168,0.000383142,0.000383146,0.000383154,0.000383151,0.000383146,0.000383143,0.000383146,0.000383143
4.90E-05,0.99955925,4.90E-05,4.90E-05,4.90E-05,4.90E-05,4.90E-05,4.90E-05,4.90E-05,4.90E-05
8.63E-05,0.99922346,8.63E-05,8.63E-05,8.63E-05,8.63E-05,8.63E-05,8.63E-05,8.63E-05,8.63E-05
0.000395271,0.996442647,0.000395257,0.000395257,0.000395267,0.000395259,0.000395263,0.000395257,0.000395264,0.000395257
0.000182487,0.998357614,0.000182482,0.000182484,0.000182495,0.000182486,0.000182498,0.000182482,0.000182491,0.000182482
0.000343652,0.996907158,0.000343643,0.000343645,0.000343649,0.00034365,0.000343658,0.000343643,0.000343661,0.000343643
0.000289024,0.997398819,0.000289017,0.000289018,0.000289022,0.000289022,0.000289019,0.000289017,0.000289023,0.000289018
0.000355884,0.996797102,0.000355872,0.000355873,0.000355883,0.000355879,0.000355879,0.000355872,0.000355881,0.000355876
0.000357147,0.996785677,0.000357143,0.000357143,0.000357157,0.000357148,0.000357143,0.000357143,0.000357157,0.000357143
0.000380233,0.996577871,0.000380228,0.000380235,0.00038025,0.00038023,0.000380258,0.000380229,0.000380236,0.000380229
0.000280904,0.99747188,0.000280899,0.000280903,0.000280913,0.0002809,0.0002809,0.000280899,0.000280903,0.000280899
0.000327876,0.997049111,0.000327869,0.000327883,0.000327877,0.000327877,0.000327877,0.000327869,0.000327891,0.000327869
0.000327883,0.997049142,0.000327869,0.000327871,0.000327885,0.000327871,0.000327869,0.000327869,0.000327873,0.000327869
0.000333343,0.996999955,0.000333333,0.000333339,0.000333351,0.000333337,0.000333337,0.000333333,0.000333338,0.000333333
0.000383147,0.996551669,0.000383142,0.000383145,0.000383166,0.000383147,0.000383146,0.000383148,0.000383149,0.000383142
0.000266682,0.997599947,0.000266667,0.000266671,0.000266684,0.000266672,0.000266668,0.00026667,0.000266673,0.000266667
0.00034366,0.996907173,0.000343643,0.000343645,0.000343656,0.000343644,0.000343643,0.000343643,0.000343651,0.000343644
0.000234747,0.997887299,0.000234742,0.000234743,0.000234752,0.000234744,0.000234744,0.000234742,0.000234745,0.000234742
0.000393716,0.99645663,0.000393701,0.000393703,0.000393724,0.000393705,0.000393702,0.000393701,0.000393717,0.000393701
0.000366306,0.996703272,0.0003663,0.000366301,0.000366311,0.000366303,0.000366301,0.0003663,0.000366305,0.0003663
0.000421951,0.996202487,0.000421941,0.000421942,0.000421949,0.000421945,0.00042195,0.000421943,0.000421951,0.000421941
0.00033671,0.996969645,0.0003367,0.000336707,0.000336724,0.000336705,0.000336703,0.0003367,0.000336705,0.000336701
0.000375947,0.996616487,0.00037594,0.000375944,0.000375951,0.000375944,0.00037594,0.000375944,0.000375963,0.000375941
0.000380234,0.996577836,0.000380228,0.000380236,0.000380312,0.000380235,0.000380229,0.000380228,0.000380234,0.000380228
0.000375951,0.99661651,0.00037594,0.000375942,0.000375946,0.000375946,0.000375942,0.00037594,0.000375943,0.00037594
0.000312501,0.99718747,0.0003125,0.000312501,0.000312518,0.000312502,0.0003125,0.000312501,0.000312507,0.0003125
0.000317467,0.997142803,0.00031746,0.000317463,0.000317482,0.000317463,0.000317472,0.00031746,0.000317468,0.000317461
0.000373139,0.996641707,0.000373134,0.00037314,0.000373172,0.00037314,0.00037315,0.000373134,0.000373148,0.000373134
0.000378798,0.085400497,0.000378788,0.000378791,0.911569151,0.000378792,0.000378789,0.000378788,0.000378817,0.000378788
0.00035973,0.996762449,0.000359712,0.000359716,0.000359818,0.000359717,0.000359715,0.000359712,0.000359717,0.000359712
0.0003788,0.996590828,0.000378788,0.00037879,0.000378833,0.00037879,0.0003788,0.000378788,0.000378795,0.000378788
0.00035588,0.996797124,0.000355872,0.000355876,0.00035588,0.000355875,0.000355872,0.000355872,0.000355878,0.000355873
0.000371762,0.996654211,0.000371747,0.000371751,0.000371767,0.000371756,0.000371758,0.000371747,0.000371753,0.000371747
0.000487827,0.995609689,0.000487805,0.000487805,0.000487834,0.000487806,0.00048781,0.000487805,0.000487814,0.000487805
0.000248777,0.99776114,0.000248756,0.00024876,0.000248773,0.000248757,0.000248759,0.000248757,0.000248764,0.000248756
0.000383161,0.996551665,0.000383142,0.000383144,0.000383162,0.000383145,0.000383145,0.000383145,0.00038315,0.000383142
0.000301214,0.997289044,0.000301205,0.000301216,0.000301254,0.000301215,0.000301208,0.000301206,0.000301231,0.000301206
0.000264567,0.997619004,0.00026455,0.000264552,0.00026456,0.000264554,0.000264552,0.000264551,0.000264558,0.000264551
0.000378798,0.06889929,0.000378788,0.00037879,0.928070384,0.00037879,0.000378789,0.000378788,0.000378795,0.000378788
0.00025642,0.997692239,0.00025641,0.000256414,0.000256454,0.000256413,0.000256412,0.000256412,0.000256416,0.00025641
0.000378811,0.996590841,0.000378788,0.000378791,0.000378816,0.000378789,0.000378795,0.000378788,0.000378794,0.000378788
0.894604806,0.102737355,0.000332226,0.000332229,0.000332238,0.000332228,0.000332226,0.000332226,0.00033224,0.000332226
0.000325768,0.997068281,0.000325733,0.000325734,0.000325782,0.000325741,0.000325739,0.000325733,0.000325755,0.000325734
0.00037595,0.996616506,0.00037594,0.000375945,0.00037595,0.00037594,0.000375943,0.00037594,0.000375944,0.000375942
0.000107183,0.99903536,0.000107181,0.000107181,0.000107184,0.000107182,0.000107181,0.000107181,0.000107184,0.000107181
